fileName,IntervalName,duration,start,end,language,location,group,condition,IOI,speaker,gender
Czech_Prague_S2_conv.TextGrid,20,0.1665786734490666,1583.965933257986,1584.132511931435,Czech,Prague,S2,conv,6.003169429163223,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1616321092144517,1584.132511931435,1584.2941440406494,Czech,Prague,S2,conv,6.186889503948817,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1693764354417908,1584.2941440406494,1584.4635204760912,Czech,Prague,S2,conv,5.904009004509176,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1571603478400902,1584.4635204760912,1584.6206808239313,Czech,Prague,S2,conv,6.362928141502299,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1367058118312343,1584.6206808239313,1584.7573866357625,Czech,Prague,S2,conv,7.314977955981253,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1010434261359023,1584.7573866357625,1584.8584300618984,Czech,Prague,S2,conv,9.896734881643967,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1818781670449425,1584.8584300618984,1585.040308228943,Czech,Prague,S2,conv,5.4981860453481355,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1615611076144887,1585.040308228943,1585.2018693365578,Czech,Prague,S2,conv,6.189608469299208,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.2246730298788861,1585.2018693365578,1585.4265423664367,Czech,Prague,S2,conv,4.450912512904051,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1592919894380884,1585.4265423664367,1585.5858343558748,Czech,Prague,S2,conv,6.277779589090181,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.7584200691148908,1585.5858343558748,1586.3442544249897,Czech,Prague,S2,conv,1.3185305093087047,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.0881616519891395,1586.3442544249897,1586.4324160769788,Czech,Prague,S2,conv,11.342800156730144,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1230463439999312,1586.4324160769788,1586.5554624209788,Czech,Prague,S2,conv,8.127019198559521,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.2978078180869943,1586.5554624209788,1586.8532702390658,Czech,Prague,S2,conv,3.357870207785762,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.2639254914784033,1586.8532702390658,1587.1171957305442,Czech,Prague,S2,conv,3.788948139864803,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.2223987223369476,1587.1171957305442,1587.339594452881,Czech,Prague,S2,conv,4.496428709176391,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.2585756504349774,1587.339594452881,1587.598170103316,Czech,Prague,S2,conv,3.867340170343938,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.2621422111303673,1587.598170103316,1587.8603123144464,Czech,Prague,S2,conv,3.8147232972818896,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1205335111139902,1587.8603123144464,1587.9808458255604,Czech,Prague,S2,conv,8.2964479401441,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1221547038262542,1587.9808458255604,1588.1030005293867,Czech,Prague,S2,conv,8.186340506562418,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.2371762862608193,1588.1030005293867,1588.3401768156475,Czech,Prague,S2,conv,4.216273118048212,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1025386200001321,1588.3401768156475,1588.4427154356476,Czech,Prague,S2,conv,9.752423038253408,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1390958671304361,1588.4427154356476,1588.581811302778,Czech,Prague,S2,conv,7.189286214106258,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.0993898075107608,1588.581811302778,1588.6812011102888,Czech,Prague,S2,conv,10.061393869705718,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.116804862782601,1588.6812011102888,1588.7980059730714,Czech,Prague,S2,conv,8.561287400005044,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.0748977746086438,1588.7980059730714,1588.87290374768,Czech,Prague,S2,conv,13.35153154049242,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.1444457081740893,1588.87290374768,1589.0173494558542,Czech,Prague,S2,conv,6.923016354316162,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.152470469739228,1589.0173494558542,1589.1698199255934,Czech,Prague,S2,conv,6.558647072513854,20,Female
Czech_Prague_S2_conv.TextGrid,20,0.5282500165758393,1589.1698199255934,1589.6980699421692,Czech,Prague,S2,conv,1.8930430073283926,20,Female
